步骤 	 符号栈 	 产生式 
45 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(21,Specifier)(27,<ID>) 	 
46 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(21,Specifier)(28,Dec) 	 Dec-><ID> 
47 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(21,Specifier)(28,Dec)(44,;) 	 
48 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def) 	 Def->Specifier Dec ; 
49 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(2,int) 	 
50 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(21,Specifier) 	 Specifier->int 
51 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(21,Specifier)(27,<ID>) 	 
52 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(21,Specifier)(28,Dec) 	 Dec-><ID> 
53 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(21,Specifier)(28,Dec)(44,;) 	 
54 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(23,Def) 	 Def->Specifier Dec ; 
55 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(23,Def)(41,DefList) 	 DefList->@ 
56 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(41,DefList) 	 DefList->Def DefList 
57 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList) 	 DefList->Def DefList 
