步骤 	 符号栈 	 产生式 
120 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(123,Block_m)(129,{)(132,DefList)(135,StmtList)(137,}) 	 
121 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block) 	 Block->Block_m { DefList StmtList } 
122 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next) 	 IfStmt_next->@ 
123 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else) 	 
124 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m) 	 Block_m->@ 
125 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{) 	 
126 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList) 	 DefList->@ 
127 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(29,<ID>) 	 
128 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(46,=) 	 
129 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop) 	 Assignop->= 
130 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(29,<ID>) 	 
131 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(77,Exp) 	 Exp-><ID> 
132 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(38,Exp) 	 Exp-><ID> Assignop Exp 
133 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(38,Exp)(62,;) 	 
134 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(37,Stmt) 	 Stmt->Exp ; 
135 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(37,Stmt)(61,StmtList) 	 StmtList->@ 
136 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(136,StmtList) 	 StmtList->Stmt StmtList 
137 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(125,Block_m)(130,{)(133,DefList)(136,StmtList)(138,}) 	 
138 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(128,IfStmt_next)(131,else)(134,Block) 	 Block->Block_m { DefList StmtList } 
139 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(122,Block)(127,IfNext) 	 IfNext->IfStmt_next else Block 
140 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(39,IfStmt) 	 IfStmt->if IfStmt_m1 ( Exp ) IfStmt_m2 Block IfNext 
141 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt) 	 Stmt->IfStmt 
142 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while) 	 
143 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1) 	 WhileStmt_m1->@ 
144 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,() 	 
145 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(52,<ID>) 	 
146 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp) 	 Exp-><ID> 
147 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(70,<=) 	 
148 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(83,Relop) 	 Relop-><= 
149 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(83,Relop)(53,<INT>) 	 
150 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(83,Relop)(99,Exp) 	 Exp-><INT> 
151 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp) 	 Exp->Exp Relop Exp 
152 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,)) 	 
153 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2) 	 WhileStmt_m2->@ 
154 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m) 	 Block_m->@ 
155 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{) 	 
156 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList) 	 DefList->@ 
157 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>) 	 
158 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(46,=) 	 
159 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop) 	 Assignop->= 
160 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,() 	 
161 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(52,<ID>) 	 
162 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp) 	 Exp-><ID> 
163 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp)(65,*) 	 
164 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp)(82,Aritop) 	 Aritop->* 
165 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp)(82,Aritop)(53,<INT>) 	 
166 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp)(82,Aritop)(98,Exp) 	 Exp-><INT> 
167 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp) 	 Exp->Exp Aritop Exp 
168 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp)(81,)) 	 
169 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(29,<ID>)(51,Assignop)(77,Exp) 	 Exp->( Exp ) 
170 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(38,Exp) 	 Exp-><ID> Assignop Exp 
171 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(38,Exp)(62,;) 	 
172 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(37,Stmt) 	 Stmt->Exp ; 
173 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(37,Stmt)(61,StmtList) 	 StmtList->@ 
174 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(136,StmtList) 	 StmtList->Stmt StmtList 
175 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(125,Block_m)(130,{)(133,DefList)(136,StmtList)(138,}) 	 
176 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(35,while)(59,WhileStmt_m1)(86,()(101,Exp)(111,))(120,WhileStmt_m2)(124,Block) 	 Block->Block_m { DefList StmtList } 
177 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(40,WhileStmt) 	 WhileStmt->while WhileStmt_m1 ( Exp ) WhileStmt_m2 Block 
178 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt) 	 Stmt->WhileStmt 
179 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(29,<ID>) 	 
180 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(29,<ID>)(46,=) 	 
181 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(29,<ID>)(51,Assignop) 	 Assignop->= 
182 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>) 	 
183 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,() 	 
184 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck) 	 CallFunCheck->@ 
185 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(89,<ID>) 	 
186 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp) 	 Exp-><ID> 
187 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(94,Args) 	 Args->Exp 
188 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(94,Args)(108,)) 	 
189 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(29,<ID>)(51,Assignop)(77,Exp) 	 Exp-><ID> ( CallFunCheck Args ) 
190 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(38,Exp) 	 Exp-><ID> Assignop Exp 
191 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(38,Exp)(62,;) 	 
192 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(37,Stmt) 	 Stmt->Exp ; 
193 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(37,Stmt)(33,return) 	 
194 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(37,Stmt)(33,return)(29,<ID>) 	 
195 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(37,Stmt)(33,return)(57,Exp) 	 Exp-><ID> 
196 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(37,Stmt)(33,return)(57,Exp)(84,;) 	 
197 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(37,Stmt)(37,Stmt) 	 Stmt->return Exp ; 
198 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(37,Stmt)(37,Stmt)(61,StmtList) 	 StmtList->@ 
199 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(37,Stmt)(61,StmtList) 	 StmtList->Stmt StmtList 
200 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(61,StmtList) 	 StmtList->Stmt StmtList 
201 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(61,StmtList) 	 StmtList->Stmt StmtList 
202 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(61,StmtList) 	 StmtList->Stmt StmtList 
203 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(36,StmtList) 	 StmtList->Stmt StmtList 
204 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(36,StmtList)(60,}) 	 
205 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(13,Block) 	 Block->Block_m { DefList StmtList } 
206 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(13,Block)(16,ExitFunTable_m) 	 ExitFunTable_m->@ 
207 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef) 	 ExtDef->Specifier FunDec Block ExitFunTable_m 
208 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(2,int) 	 
209 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier) 	 Specifier->int 
210 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>) 	 
211 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m) 	 CreateFunTable_m->@ 
212 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,() 	 
213 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(2,int) 	 
214 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(18,Specifier) 	 Specifier->int 
215 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(18,Specifier)(24,<ID>) 	 
216 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(20,ParamDec) 	 ParamDec->Specifier <ID> 
